ID,duration,wav,wav_format,wav_opts
silence_aug_1536,4.9989569160997736,SoundClassification/data/audio/negative/silence_aug_1536.wav,wav,
silence_646,5.0,SoundClassification/data/audio/negative/silence_646.wav,wav,
silence_aug_1370,5.0,SoundClassification/data/audio/negative/silence_aug_1370.wav,wav,
silence_614,5.0,SoundClassification/data/audio/negative/silence_614.wav,wav,
silence_aug_1389,5.0,SoundClassification/data/audio/negative/silence_aug_1389.wav,wav,
silence_698,5.0,SoundClassification/data/audio/negative/silence_698.wav,wav,
silence_725,5.0,SoundClassification/data/audio/negative/silence_725.wav,wav,
silence_aug_892,5.0,SoundClassification/data/audio/negative/silence_aug_892.wav,wav,
silence_aug_1272,5.0,SoundClassification/data/audio/negative/silence_aug_1272.wav,wav,
silence_388,5.0,SoundClassification/data/audio/negative/silence_388.wav,wav,
silence_131,5.0,SoundClassification/data/audio/negative/silence_131.wav,wav,
silence_743,5.0,SoundClassification/data/audio/negative/silence_743.wav,wav,
silence_802,5.0,SoundClassification/data/audio/negative/silence_802.wav,wav,
silence_aug_1643,5.0,SoundClassification/data/audio/negative/silence_aug_1643.wav,wav,
silence_aug_1249,5.0,SoundClassification/data/audio/negative/silence_aug_1249.wav,wav,
silence_aug_1144,5.0,SoundClassification/data/audio/negative/silence_aug_1144.wav,wav,
silence_aug_1622,5.0,SoundClassification/data/audio/negative/silence_aug_1622.wav,wav,
silence_aug_1577,5.0,SoundClassification/data/audio/negative/silence_aug_1577.wav,wav,
silence_343,5.0,SoundClassification/data/audio/negative/silence_343.wav,wav,
silence_810,5.0,SoundClassification/data/audio/negative/silence_810.wav,wav,
silence_10,5.0,SoundClassification/data/audio/negative/silence_10.wav,wav,
silence_596,5.0,SoundClassification/data/audio/negative/silence_596.wav,wav,
silence_501,5.0,SoundClassification/data/audio/negative/silence_501.wav,wav,
silence_405,5.0,SoundClassification/data/audio/negative/silence_405.wav,wav,
silence_aug_985,5.0,SoundClassification/data/audio/negative/silence_aug_985.wav,wav,
