ID,duration,wav,wav_format,wav_opts
silence_aug_1320,5.0,SoundClassification/data/audio/negative/silence_aug_1320.wav,wav,
silence_aug_1222,5.0,SoundClassification/data/audio/negative/silence_aug_1222.wav,wav,
silence_359,5.0,SoundClassification/data/audio/negative/silence_359.wav,wav,
silence_365,5.0,SoundClassification/data/audio/negative/silence_365.wav,wav,
silence_9,5.0,SoundClassification/data/audio/negative/silence_9.wav,wav,
silence_aug_1647,5.0,SoundClassification/data/audio/negative/silence_aug_1647.wav,wav,
silence_448,5.0,SoundClassification/data/audio/negative/silence_448.wav,wav,
silence_825,5.0,SoundClassification/data/audio/negative/silence_825.wav,wav,
silence_aug_1158,5.0,SoundClassification/data/audio/negative/silence_aug_1158.wav,wav,
silence_aug_835,5.0,SoundClassification/data/audio/negative/silence_aug_835.wav,wav,
silence_aug_924,5.0,SoundClassification/data/audio/negative/silence_aug_924.wav,wav,
silence_aug_1637,5.0,SoundClassification/data/audio/negative/silence_aug_1637.wav,wav,
silence_aug_1014,5.0,SoundClassification/data/audio/negative/silence_aug_1014.wav,wav,
silence_aug_1474,5.0,SoundClassification/data/audio/negative/silence_aug_1474.wav,wav,
silence_716,5.0,SoundClassification/data/audio/negative/silence_716.wav,wav,
silence_476,5.0,SoundClassification/data/audio/negative/silence_476.wav,wav,
silence_aug_842,5.0,SoundClassification/data/audio/negative/silence_aug_842.wav,wav,
silence_325,5.0,SoundClassification/data/audio/negative/silence_325.wav,wav,
silence_aug_1557,5.0,SoundClassification/data/audio/negative/silence_aug_1557.wav,wav,
silence_420,5.0,SoundClassification/data/audio/negative/silence_420.wav,wav,
silence_aug_929,5.0,SoundClassification/data/audio/negative/silence_aug_929.wav,wav,
silence_708,5.0,SoundClassification/data/audio/negative/silence_708.wav,wav,
silence_aug_1342,5.0,SoundClassification/data/audio/negative/silence_aug_1342.wav,wav,
silence_aug_873,5.0,SoundClassification/data/audio/negative/silence_aug_873.wav,wav,
silence_268,5.0,SoundClassification/data/audio/negative/silence_268.wav,wav,
silence_aug_840,5.0,SoundClassification/data/audio/negative/silence_aug_840.wav,wav,
silence_aug_1266,5.0,SoundClassification/data/audio/negative/silence_aug_1266.wav,wav,
silence_664,5.0,SoundClassification/data/audio/negative/silence_664.wav,wav,
silence_aug_1410,5.0,SoundClassification/data/audio/negative/silence_aug_1410.wav,wav,
silence_aug_1375,5.0,SoundClassification/data/audio/negative/silence_aug_1375.wav,wav,
silence_aug_1648,5.0,SoundClassification/data/audio/negative/silence_aug_1648.wav,wav,
silence_aug_834,5.0,SoundClassification/data/audio/negative/silence_aug_834.wav,wav,
silence_aug_1028,5.0,SoundClassification/data/audio/negative/silence_aug_1028.wav,wav,
silence_249,5.0,SoundClassification/data/audio/negative/silence_249.wav,wav,
silence_641,5.0,SoundClassification/data/audio/negative/silence_641.wav,wav,
silence_aug_896,5.0,SoundClassification/data/audio/negative/silence_aug_896.wav,wav,
silence_aug_1580,5.0,SoundClassification/data/audio/negative/silence_aug_1580.wav,wav,
silence_285,5.0,SoundClassification/data/audio/negative/silence_285.wav,wav,
silence_aug_1327,5.0,SoundClassification/data/audio/negative/silence_aug_1327.wav,wav,
silence_aug_1466,5.0,SoundClassification/data/audio/negative/silence_aug_1466.wav,wav,
silence_aug_1441,5.0,SoundClassification/data/audio/negative/silence_aug_1441.wav,wav,
silence_aug_1276,5.0,SoundClassification/data/audio/negative/silence_aug_1276.wav,wav,
silence_509,5.0,SoundClassification/data/audio/negative/silence_509.wav,wav,
silence_aug_1511,5.0,SoundClassification/data/audio/negative/silence_aug_1511.wav,wav,
silence_aug_1335,5.0,SoundClassification/data/audio/negative/silence_aug_1335.wav,wav,
silence_aug_876,5.0,SoundClassification/data/audio/negative/silence_aug_876.wav,wav,
silence_aug_1282,5.0,SoundClassification/data/audio/negative/silence_aug_1282.wav,wav,
silence_aug_1429,4.9989569160997736,SoundClassification/data/audio/negative/silence_aug_1429.wav,wav,
silence_713,5.0,SoundClassification/data/audio/negative/silence_713.wav,wav,
silence_94,5.0,SoundClassification/data/audio/negative/silence_94.wav,wav,
silence_aug_875,5.0,SoundClassification/data/audio/negative/silence_aug_875.wav,wav,
silence_549,5.0,SoundClassification/data/audio/negative/silence_549.wav,wav,
silence_aug_1187,5.0,SoundClassification/data/audio/negative/silence_aug_1187.wav,wav,
silence_aug_1387,5.0,SoundClassification/data/audio/negative/silence_aug_1387.wav,wav,
silence_aug_1646,5.0,SoundClassification/data/audio/negative/silence_aug_1646.wav,wav,
silence_785,5.0,SoundClassification/data/audio/negative/silence_785.wav,wav,
silence_199,5.0,SoundClassification/data/audio/negative/silence_199.wav,wav,
silence_403,5.0,SoundClassification/data/audio/negative/silence_403.wav,wav,
silence_705,5.0,SoundClassification/data/audio/negative/silence_705.wav,wav,
silence_aug_1593,5.0,SoundClassification/data/audio/negative/silence_aug_1593.wav,wav,
silence_484,5.0,SoundClassification/data/audio/negative/silence_484.wav,wav,
silence_aug_1638,5.0,SoundClassification/data/audio/negative/silence_aug_1638.wav,wav,
silence_247,5.0,SoundClassification/data/audio/negative/silence_247.wav,wav,
silence_237,5.0,SoundClassification/data/audio/negative/silence_237.wav,wav,
silence_aug_1533,5.0,SoundClassification/data/audio/negative/silence_aug_1533.wav,wav,
silence_235,5.0,SoundClassification/data/audio/negative/silence_235.wav,wav,
silence_aug_1481,5.0,SoundClassification/data/audio/negative/silence_aug_1481.wav,wav,
silence_272,5.0,SoundClassification/data/audio/negative/silence_272.wav,wav,
silence_577,5.0,SoundClassification/data/audio/negative/silence_577.wav,wav,
silence_315,5.0,SoundClassification/data/audio/negative/silence_315.wav,wav,
silence_659,5.0,SoundClassification/data/audio/negative/silence_659.wav,wav,
silence_aug_1346,5.0,SoundClassification/data/audio/negative/silence_aug_1346.wav,wav,
silence_729,5.0,SoundClassification/data/audio/negative/silence_729.wav,wav,
silence_721,5.0,SoundClassification/data/audio/negative/silence_721.wav,wav,
silence_529,5.0,SoundClassification/data/audio/negative/silence_529.wav,wav,
silence_aug_1419,5.0,SoundClassification/data/audio/negative/silence_aug_1419.wav,wav,
silence_346,5.0,SoundClassification/data/audio/negative/silence_346.wav,wav,
silence_387,5.0,SoundClassification/data/audio/negative/silence_387.wav,wav,
silence_aug_1270,5.0,SoundClassification/data/audio/negative/silence_aug_1270.wav,wav,
silence_aug_1111,5.0,SoundClassification/data/audio/negative/silence_aug_1111.wav,wav,
silence_770,5.0,SoundClassification/data/audio/negative/silence_770.wav,wav,
silence_aug_1226,5.0,SoundClassification/data/audio/negative/silence_aug_1226.wav,wav,
silence_538,5.0,SoundClassification/data/audio/negative/silence_538.wav,wav,
silence_aug_1436,5.0,SoundClassification/data/audio/negative/silence_aug_1436.wav,wav,
silence_aug_890,5.0,SoundClassification/data/audio/negative/silence_aug_890.wav,wav,
silence_aug_1339,5.0,SoundClassification/data/audio/negative/silence_aug_1339.wav,wav,
silence_711,5.0,SoundClassification/data/audio/negative/silence_711.wav,wav,
silence_112,5.0,SoundClassification/data/audio/negative/silence_112.wav,wav,
silence_102,5.0,SoundClassification/data/audio/negative/silence_102.wav,wav,
silence_aug_1545,5.0,SoundClassification/data/audio/negative/silence_aug_1545.wav,wav,
silence_aug_1525,5.0,SoundClassification/data/audio/negative/silence_aug_1525.wav,wav,
silence_aug_1381,5.0,SoundClassification/data/audio/negative/silence_aug_1381.wav,wav,
silence_aug_1165,5.0,SoundClassification/data/audio/negative/silence_aug_1165.wav,wav,
silence_295,5.0,SoundClassification/data/audio/negative/silence_295.wav,wav,
silence_aug_1617,5.0,SoundClassification/data/audio/negative/silence_aug_1617.wav,wav,
silence_aug_942,5.0,SoundClassification/data/audio/negative/silence_aug_942.wav,wav,
silence_374,5.0,SoundClassification/data/audio/negative/silence_374.wav,wav,
silence_aug_1378,5.0,SoundClassification/data/audio/negative/silence_aug_1378.wav,wav,
silence_14,5.0,SoundClassification/data/audio/negative/silence_14.wav,wav,
silence_444,5.0,SoundClassification/data/audio/negative/silence_444.wav,wav,
silence_aug_1480,5.0,SoundClassification/data/audio/negative/silence_aug_1480.wav,wav,
silence_294,5.0,SoundClassification/data/audio/negative/silence_294.wav,wav,
silence_aug_1548,5.0,SoundClassification/data/audio/negative/silence_aug_1548.wav,wav,
silence_aug_1076,5.0,SoundClassification/data/audio/negative/silence_aug_1076.wav,wav,
silence_aug_1231,5.0,SoundClassification/data/audio/negative/silence_aug_1231.wav,wav,
silence_339,5.0,SoundClassification/data/audio/negative/silence_339.wav,wav,
silence_aug_1566,5.0,SoundClassification/data/audio/negative/silence_aug_1566.wav,wav,
silence_aug_1640,5.0,SoundClassification/data/audio/negative/silence_aug_1640.wav,wav,
silence_772,5.0,SoundClassification/data/audio/negative/silence_772.wav,wav,
silence_318,5.0,SoundClassification/data/audio/negative/silence_318.wav,wav,
silence_611,5.0,SoundClassification/data/audio/negative/silence_611.wav,wav,
silence_431,5.0,SoundClassification/data/audio/negative/silence_431.wav,wav,
silence_aug_1082,5.0,SoundClassification/data/audio/negative/silence_aug_1082.wav,wav,
silence_aug_1411,5.0,SoundClassification/data/audio/negative/silence_aug_1411.wav,wav,
silence_aug_1454,5.0,SoundClassification/data/audio/negative/silence_aug_1454.wav,wav,
silence_174,5.0,SoundClassification/data/audio/negative/silence_174.wav,wav,
silence_aug_1390,5.0,SoundClassification/data/audio/negative/silence_aug_1390.wav,wav,
silence_aug_918,5.0,SoundClassification/data/audio/negative/silence_aug_918.wav,wav,
silence_805,5.0,SoundClassification/data/audio/negative/silence_805.wav,wav,
silence_aug_1054,5.0,SoundClassification/data/audio/negative/silence_aug_1054.wav,wav,
silence_36,5.0,SoundClassification/data/audio/negative/silence_36.wav,wav,
silence_aug_1606,5.0,SoundClassification/data/audio/negative/silence_aug_1606.wav,wav,
silence_aug_903,5.0,SoundClassification/data/audio/negative/silence_aug_903.wav,wav,
silence_aug_1296,5.0,SoundClassification/data/audio/negative/silence_aug_1296.wav,wav,
